net_type,system,activation,steps_ahead,Nodes_prop,Nodes_tot,Edges_prop,Edges_tot,Triangles_prop,Triangles_tot,Squares_prop,Squares_tot
lorenz,rossler,tanh,45,0.0490797546012269,8,0.1226993865030674,20,0.3680981595092024,60,0.4601226993865031,75
lorenz,rossler,tanh,49,0.0466666666666666,7,0.1066666666666666,16,0.3533333333333333,53,0.4933333333333333,74
lorenz,rossler,tanh,53,0.0529801324503311,8,0.1059602649006622,16,0.3576158940397351,54,0.4834437086092715,73
lorenz,rossler,tanh,57,0.05,8,0.13125,21,0.35,56,0.46875,75
lorenz,rossler,tanh,61,0.0496453900709219,7,0.1347517730496454,19,0.3120567375886525,44,0.5035460992907801,71
lorenz,rossler,tanh,65,0.0466666666666666,7,0.12,18,0.3466666666666667,52,0.4866666666666667,73
lorenz,rossler,tanh,69,0.0440251572327044,7,0.1257861635220125,20,0.3396226415094339,54,0.490566037735849,78
lorenz,rossler,tanh,73,0.0466666666666666,7,0.1133333333333333,17,0.34,51,0.5,75
lorenz,rossler,tanh,77,0.0394736842105263,6,0.1118421052631579,17,0.3355263157894737,51,0.5131578947368421,78
lorenz,rossler,tanh,81,0.0389610389610389,6,0.1168831168831168,18,0.3506493506493506,54,0.4935064935064935,76
lorenz,rossler,tanh,85,0.0472972972972973,7,0.1081081081081081,16,0.3513513513513513,52,0.4932432432432432,73
lorenz,rossler,tanh,89,0.0421686746987951,7,0.0963855421686747,16,0.4156626506024096,69,0.4457831325301205,74
lorenz,rossler,tanh,93,0.0714285714285714,13,0.0934065934065934,17,0.4065934065934066,74,0.4285714285714285,78
lorenz,rossler,tanh,97,0.0517241379310344,9,0.1264367816091954,22,0.3563218390804598,62,0.4655172413793103,81
lorenz,rossler,linear,1,0.2638888888888889,19,0.0,0,0.6527777777777778,47,0.0833333333333333,6
lorenz,rossler,linear,5,0.1170212765957446,11,0.1063829787234042,10,0.425531914893617,40,0.351063829787234,33
lorenz,rossler,linear,9,0.2674418604651162,23,0.127906976744186,11,0.3255813953488372,28,0.2790697674418604,24
lorenz,rossler,linear,13,0.0655737704918032,4,0.2131147540983606,13,0.2786885245901639,17,0.4426229508196721,27
lorenz,rossler,linear,17,0.0789473684210526,6,0.1973684210526315,15,0.3157894736842105,24,0.4078947368421052,31
lorenz,rossler,linear,21,0.0862068965517241,5,0.1551724137931034,9,0.293103448275862,17,0.4655172413793103,27
lorenz,rossler,linear,25,0.1428571428571428,4,0.2857142857142857,8,0.25,7,0.3214285714285714,9
lorenz,rossler,linear,29,0.1081081081081081,4,0.1891891891891892,7,0.1891891891891892,7,0.5135135135135135,19
lorenz,rossler,linear,33,0.1333333333333333,4,0.1666666666666666,5,0.3666666666666666,11,0.3333333333333333,10
lorenz,rossler,linear,37,0.1379310344827586,4,0.1724137931034483,5,0.3103448275862069,9,0.3793103448275862,11
lorenz,rossler,linear,41,0.1111111111111111,3,0.2222222222222222,6,0.2222222222222222,6,0.4444444444444444,12
lorenz,rossler,linear,45,0.1333333333333333,4,0.1666666666666666,5,0.2666666666666666,8,0.4333333333333333,13
lorenz,rossler,linear,49,0.1176470588235294,4,0.1764705882352941,6,0.2647058823529412,9,0.4411764705882353,15
lorenz,rossler,linear,53,0.1,3,0.2333333333333333,7,0.3,9,0.3666666666666666,11
lorenz,rossler,linear,57,0.1212121212121212,4,0.2121212121212121,7,0.1818181818181818,6,0.4848484848484848,16
lorenz,rossler,linear,61,0.1136363636363636,5,0.2272727272727272,10,0.25,11,0.4090909090909091,18
lorenz,rossler,linear,65,0.081081081081081,3,0.1891891891891892,7,0.2702702702702703,10,0.4594594594594595,17
lorenz,rossler,linear,69,0.1666666666666666,4,0.125,3,0.25,6,0.4583333333333333,11
lorenz,rossler,linear,73,0.1851851851851851,5,0.1481481481481481,4,0.2592592592592592,7,0.4074074074074074,11
lorenz,rossler,linear,77,0.125,4,0.1875,6,0.25,8,0.4375,14
lorenz,rossler,linear,81,0.0980392156862745,5,0.1764705882352941,9,0.2941176470588235,15,0.4313725490196078,22
lorenz,rossler,linear,85,0.0961538461538461,5,0.1538461538461538,8,0.3076923076923077,16,0.4423076923076923,23
lorenz,rossler,linear,89,0.1052631578947368,6,0.175438596491228,10,0.3157894736842105,18,0.4035087719298245,23
lorenz,rossler,linear,93,0.1272727272727272,7,0.1818181818181818,10,0.2727272727272727,15,0.4181818181818181,23
lorenz,rossler,linear,97,0.1111111111111111,7,0.1746031746031746,11,0.2857142857142857,18,0.4285714285714285,27
lorenz,lorenz,tanh,1,0.5259259259259259,213,0.0,0,0.4740740740740741,192,0.0,0
lorenz,lorenz,tanh,2,0.5915178571428571,265,0.0,0,0.4084821428571428,183,0.0,0
lorenz,lorenz,tanh,3,0.1834532374100719,51,0.1115107913669064,31,0.4028776978417266,112,0.302158273381295,84
lorenz,lorenz,tanh,4,0.3147632311977716,113,0.0668523676880222,24,0.3871866295264624,139,0.2311977715877437,83
lorenz,lorenz,tanh,5,0.2338028169014084,83,0.0873239436619718,31,0.4084507042253521,145,0.2704225352112676,96
lorenz,lorenz,tanh,6,0.0551181102362204,21,0.1049868766404199,40,0.4934383202099737,188,0.3464566929133858,132
lorenz,lorenz,tanh,7,0.0438144329896907,17,0.1159793814432989,45,0.4716494845360824,183,0.3685567010309278,143
lorenz,lorenz,tanh,8,0.0606060606060606,14,0.1168831168831168,27,0.4155844155844156,96,0.4069264069264069,94
lorenz,lorenz,tanh,9,0.046875,9,0.125,24,0.4114583333333333,79,0.4166666666666667,80
lorenz,lorenz,tanh,10,0.0548780487804878,9,0.1280487804878048,21,0.4390243902439024,72,0.3780487804878049,62
lorenz,lorenz,tanh,11,0.065040650406504,8,0.1382113821138211,17,0.4227642276422764,52,0.3739837398373983,46
lorenz,lorenz,tanh,12,0.0558375634517766,11,0.1065989847715736,21,0.416243654822335,82,0.4213197969543147,83
lorenz,lorenz,tanh,13,0.043859649122807,5,0.1491228070175438,17,0.4473684210526316,51,0.3596491228070175,41
lorenz,lorenz,tanh,14,0.0666666666666666,6,0.1111111111111111,10,0.4666666666666667,42,0.3555555555555555,32
lorenz,lorenz,tanh,15,0.0769230769230769,8,0.125,13,0.4423076923076923,46,0.3557692307692308,37
lorenz,lorenz,tanh,16,0.0759493670886076,6,0.1392405063291139,11,0.4430379746835443,35,0.3417721518987341,27
lorenz,lorenz,tanh,17,0.0784313725490196,8,0.1470588235294117,15,0.4411764705882353,45,0.3333333333333333,34
